fixture_id,match_number,stage,group,matchday,kickoff_utc,venue_key,home_team,away_team,home_code,away_code,home_score,away_score,winner_code,played
WC26-M076,76,R32,,,2026-06-29T17:00:00Z,Houston Stadium,Brazil,Japan,BRA,JPN,2,1,BRA,True
WC26-M074,74,R32,,,2026-06-29T20:30:00Z,Boston Stadium,Germany,Paraguay,GER,PAR,1,1,PAR,True
WC26-M075,75,R32,,,2026-06-30T01:00:00Z,Monterrey Stadium,Netherlands,Morocco,NED,MAR,1,1,MAR,True
WC26-M078,78,R32,,,2026-06-30T17:00:00Z,Dallas Stadium,Côte d'Ivoire,Norway,CIV,NOR,1,2,NOR,True
WC26-M077,77,R32,,,2026-06-30T21:00:00Z,New York/New Jersey Stadium,France,Sweden,FRA,SWE,3,0,FRA,True
WC26-M079,79,R32,,,2026-07-01T01:00:00Z,Mexico City Stadium,Mexico,Ecuador,MEX,ECU,2,0,MEX,True
WC26-M080,80,R32,,,2026-07-01T16:00:00Z,Atlanta Stadium,England,Congo DR,ENG,COD,,,,False
WC26-M082,82,R32,,,2026-07-01T20:00:00Z,Seattle Stadium,Belgium,Senegal,BEL,SEN,,,,False
WC26-M081,81,R32,,,2026-07-02T00:00:00Z,San Francisco Bay Area Stadium,USA,Bosnia and Herzegovina,USA,BIH,,,,False
WC26-M084,84,R32,,,2026-07-02T19:00:00Z,Los Angeles Stadium,Spain,Austria,ESP,AUT,,,,False
WC26-M083,83,R32,,,2026-07-02T23:00:00Z,Toronto Stadium,Portugal,Croatia,POR,CRO,,,,False
WC26-M085,85,R32,,,2026-07-03T03:00:00Z,BC Place Vancouver,Switzerland,Algeria,SUI,ALG,,,,False
WC26-M088,88,R32,,,2026-07-03T18:00:00Z,Dallas Stadium,Australia,Egypt,AUS,EGY,,,,False
WC26-M086,86,R32,,,2026-07-03T22:00:00Z,Miami Stadium,Argentina,Cabo Verde,ARG,CPV,,,,False
WC26-M087,87,R32,,,2026-07-04T01:30:00Z,Kansas City Stadium,Colombia,Ghana,COL,GHA,,,,False
WC26-M090,90,R16,,,2026-07-04T17:00:00Z,Houston Stadium,Canada,Morocco,CAN,MAR,,,,False
WC26-M089,89,R16,,,2026-07-04T21:00:00Z,Philadelphia Stadium,Paraguay,France,PAR,FRA,,,,False
WC26-M091,91,R16,,,2026-07-05T20:00:00Z,New York/New Jersey Stadium,Brazil,Norway,BRA,NOR,,,,False
WC26-M092,92,R16,,,2026-07-06T00:00:00Z,Mexico City Stadium,Mexico,To be announced,MEX,,,,,False
WC26-M093,93,R16,,,2026-07-06T19:00:00Z,Dallas Stadium,To be announced,To be announced,,,,,,False
WC26-M094,94,R16,,,2026-07-07T00:00:00Z,Seattle Stadium,To be announced,To be announced,,,,,,False
WC26-M095,95,R16,,,2026-07-07T16:00:00Z,Atlanta Stadium,To be announced,To be announced,,,,,,False
WC26-M096,96,R16,,,2026-07-07T20:00:00Z,BC Place Vancouver,To be announced,To be announced,,,,,,False
WC26-M097,97,QF,,,2026-07-09T20:00:00Z,Boston Stadium,To be announced,To be announced,,,,,,False
WC26-M098,98,QF,,,2026-07-10T19:00:00Z,Los Angeles Stadium,To be announced,To be announced,,,,,,False
WC26-M099,99,QF,,,2026-07-11T21:00:00Z,Miami Stadium,To be announced,To be announced,,,,,,False
WC26-M100,100,QF,,,2026-07-12T01:00:00Z,Kansas City Stadium,To be announced,To be announced,,,,,,False
WC26-M101,101,SF,,,2026-07-14T19:00:00Z,Dallas Stadium,To be announced,To be announced,,,,,,False
WC26-M102,102,SF,,,2026-07-15T19:00:00Z,Atlanta Stadium,To be announced,To be announced,,,,,,False
WC26-M103,103,third_place,,,2026-07-18T21:00:00Z,Miami Stadium,To be announced,To be announced,,,,,,False
WC26-M104,104,final,,,2026-07-19T19:00:00Z,New York/New Jersey Stadium,To be announced,To be announced,,,,,,False
